	110D2W115D_R1_filtered.fastq.gz	110D2W115R_R1_filtered.fastq.gz	110D2W415D_R1_filtered.fastq.gz	110D2W415R_R1_filtered.fastq.gz	110D2W515D_R1_filtered.fastq.gz	110D2W515R_R1_filtered.fastq.gz	110D2W615D_R1_filtered.fastq.gz	110D2W615R_R1_filtered.fastq.gz	110D2W715D_R1_filtered.fastq.gz	110D2W715R_R1_filtered.fastq.gz	110D2W815D_R1_filtered.fastq.gz	110D2W815R_R1_filtered.fastq.gz	110D2W915D_R1_filtered.fastq.gz	110D2W915R_R1_filtered.fastq.gz	110M2W115D_R1_filtered.fastq.gz	110M2W115R_R1_filtered.fastq.gz	110M2W415D_R1_filtered.fastq.gz	110M2W415R_R1_filtered.fastq.gz	110M2W515D_R1_filtered.fastq.gz	110M2W515R_R1_filtered.fastq.gz	110M2W615C_R1_filtered.fastq.gz	110M2W615D_R1_filtered.fastq.gz	110M2W615R_R1_filtered.fastq.gz	110M2W715D_R1_filtered.fastq.gz	110M2W715R_R1_filtered.fastq.gz	110M2W815C_R1_filtered.fastq.gz	110M2W815D_R1_filtered.fastq.gz	110M2W815R_R1_filtered.fastq.gz	110M2W915C_R1_filtered.fastq.gz	110M2W915D_R1_filtered.fastq.gz	110M2W915R_R1_filtered.fastq.gz	110S2W115D_R1_filtered.fastq.gz	110S2W115R_R1_filtered.fastq.gz	110S2W415D_R1_filtered.fastq.gz	110S2W415R_R1_filtered.fastq.gz	110S2W515D_R1_filtered.fastq.gz	110S2W515R_R1_filtered.fastq.gz	110S2W615D_R1_filtered.fastq.gz	110S2W615R_R1_filtered.fastq.gz	110S2W715D_R1_filtered.fastq.gz	110S2W715R_R1_filtered.fastq.gz	110S2W815D_R1_filtered.fastq.gz	110S2W815R_R1_filtered.fastq.gz	110S2W915D_R1_filtered.fastq.gz	110S2W915R_R1_filtered.fastq.gz	EXTRACONT_R1_filtered.fastq.gz	M15S2W115D_R1_filtered.fastq.gz	M15S2W115R_R1_filtered.fastq.gz	M15S2W415D_R1_filtered.fastq.gz	M15S2W415R_R1_filtered.fastq.gz	M15S2W515D_R1_filtered.fastq.gz	M15S2W515R_R1_filtered.fastq.gz	M15S2W615C_R1_filtered.fastq.gz	M15S2W615D_R1_filtered.fastq.gz	M15S2W615R_R1_filtered.fastq.gz	M15S2W715C_R1_filtered.fastq.gz	M15S2W715D_R1_filtered.fastq.gz	M15S2W715R_R1_filtered.fastq.gz	M15S2W815D_R1_filtered.fastq.gz	M15S2W815R_R1_filtered.fastq.gz	M15S2W915D_R1_filtered.fastq.gz	M15S2W915R_R1_filtered.fastq.gz	M45D2W115D_R1_filtered.fastq.gz	M45D2W115R_R1_filtered.fastq.gz	M45D2W415D_R1_filtered.fastq.gz	M45D2W415R_R1_filtered.fastq.gz	M45D2W515D_R1_filtered.fastq.gz	M45D2W515R_R1_filtered.fastq.gz	M45D2W615D_R1_filtered.fastq.gz	M45D2W615R_R1_filtered.fastq.gz	M45D2W715C_R1_filtered.fastq.gz	M45D2W715D_R1_filtered.fastq.gz	M45D2W715R_R1_filtered.fastq.gz	M45D2W815D_R1_filtered.fastq.gz	M45D2W815R_R1_filtered.fastq.gz	M45D2W915C_R1_filtered.fastq.gz	M45D2W915D_R1_filtered.fastq.gz	M45D2W915R_R1_filtered.fastq.gz	M45S2W115D_R1_filtered.fastq.gz	M45S2W115R_R1_filtered.fastq.gz	M45S2W415D_R1_filtered.fastq.gz	M45S2W415R_R1_filtered.fastq.gz	M45S2W515D_R1_filtered.fastq.gz	M45S2W515R_R1_filtered.fastq.gz	M45S2W615C_R1_filtered.fastq.gz	M45S2W615D_R1_filtered.fastq.gz	M45S2W615R_R1_filtered.fastq.gz	M45S2W715D_R1_filtered.fastq.gz	M45S2W715R_R1_filtered.fastq.gz	M45S2W815D_R1_filtered.fastq.gz	M45S2W815R_R1_filtered.fastq.gz	M45S2W915D_R1_filtered.fastq.gz	M45S2W915R_R1_filtered.fastq.gz	MILIQW115_R1_filtered.fastq.gz	MILIQW515_R1_filtered.fastq.gz	MILIQW615_R1_filtered.fastq.gz	MILIQW715_R1_filtered.fastq.gz	MILIQW815_R1_filtered.fastq.gz	MLBD2W115C_R1_filtered.fastq.gz	MLBD2W115D_R1_filtered.fastq.gz	MLBD2W115R_R1_filtered.fastq.gz	MLBD2W415D_R1_filtered.fastq.gz	MLBD2W415R_R1_filtered.fastq.gz	MLBD2W515D_R1_filtered.fastq.gz	MLBD2W515R_R1_filtered.fastq.gz	MLBD2W715D_R1_filtered.fastq.gz	MLBD2W715R_R1_filtered.fastq.gz	MLBD2W815D_R1_filtered.fastq.gz	MLBD2W815R_R1_filtered.fastq.gz	MLBD2W915D_R1_filtered.fastq.gz	MLBD2W915R_R1_filtered.fastq.gz	MLBD4W615C_R1_filtered.fastq.gz	MLBD4W615D_R1_filtered.fastq.gz	MLBD4W615R_R1_filtered.fastq.gz	MLBS2W115D_R1_filtered.fastq.gz	MLBS2W115R_R1_filtered.fastq.gz	MLBS2W415C_R1_filtered.fastq.gz	MLBS2W415D_R1_filtered.fastq.gz	MLBS2W415R_R1_filtered.fastq.gz	MLBS2W515D_R1_filtered.fastq.gz	MLBS2W515R_R1_filtered.fastq.gz	MLBS2W715D_R1_filtered.fastq.gz	MLBS2W715R_R1_filtered.fastq.gz	MLBS2W815C_R1_filtered.fastq.gz	MLBS2W815D_R1_filtered.fastq.gz	MLBS2W815R_R1_filtered.fastq.gz	MLBS2W915D_R1_filtered.fastq.gz	MLBS2W915R_R1_filtered.fastq.gz	MLBS4W615D_R1_filtered.fastq.gz	MLBS4W615R_R1_filtered.fastq.gz	mockA06222016_R1_filtered.fastq.gz	mockB06222016_R1_filtered.fastq.gz	mockC06222016_R1_filtered.fastq.gz	mockD06222016_R1_filtered.fastq.gz	PBSRINSE_R1_filtered.fastq.gz	waterA06222016_R1_filtered.fastq.gz	waterB06222016_R1_filtered.fastq.gz	waterC06222016_R1_filtered.fastq.gz	waterD06222016_R1_filtered.fastq.gz
ASV_1	54	391	2277	4181	4461	5424	1070	3978	3026	8152	645	862	342	998	248	3610	3122	4129	3547	4405	0	1195	4363	2444	1416	0	898	1190	0	624	1216	1016	1965	6458	5088	3252	5794	326	3002	1632	1569	382	1544	900	1145	0	2310	2604	2087	6451	1585	1362	0	1636	1973	0	1864	1539	1144	1787	1790	1139	66	1623	1761	10363	2296	3233	1247	5274	0	8800	11827	3329	3672	0	2978	5123	1194	8491	6466	8128	1370	703	0	831	360	1671	4117	1259	1331	1052	1292	0	0	0	0	0	0	595	1238	858	363	2803	529	151	0	685	0	557	262	0	61	0	953	1028	0	631	1051	963	935	205	117	0	756	332	295	171	425	335	0	0	0	0	3	0	0	0	0
ASV_2	3107	492	1503	92	2387	259	1532	584	1749	251	4864	159	1993	396	225	557	2921	96	1846	140	0	1749	336	2205	68	0	963	301	0	1363	465	1778	342	3069	76	2309	182	974	196	2421	148	1789	165	866	191	0	2061	213	914	169	1371	52	0	2174	71	0	2109	320	1609	219	4315	256	663	337	1706	239	1684	242	1635	366	0	3340	331	2103	292	0	1590	588	950	373	3368	136	2127	43	0	2108	27	1518	137	2298	220	1137	184	0	0	0	0	0	0	1188	110	301	7	1600	10	2768	0	998	0	1073	45	0	1444	0	1802	112	0	289	11	697	24	3592	48	0	1784	59	945	36	3171	183	0	0	0	0	0	0	0	0	0
ASV_3	291	1723	443	861	679	2058	904	4958	1601	3665	1017	1191	277	705	63	4208	697	1048	889	1329	0	1217	5831	745	696	0	444	1310	0	290	1147	202	990	929	1255	708	3099	88	1062	230	303	340	1202	258	568	0	136	1969	61	1164	122	160	0	138	482	0	167	275	389	2395	1148	714	57	1819	110	771	210	531	224	1936	0	501	1330	477	999	0	219	851	157	4425	660	846	145	332	0	123	52	268	812	627	639	489	701	0	0	0	0	0	0	285	561	78	99	855	628	542	0	343	0	441	392	0	299	0	307	518	0	55	107	291	518	205	294	0	427	418	273	131	283	679	0	0	0	0	0	0	0	0	0
ASV_4	0	136	0	0	0	6	0	0	0	0	0	17	0	0	83	619	0	0	0	0	0	0	40	213	927	0	588	3360	0	167	471	217	1455	0	0	0	8	144	1457	650	3684	1193	4937	171	651	0	362	2302	0	14	38	264	0	370	2884	0	576	2948	189	511	261	329	0	343	0	0	0	35	0	52	0	76	343	102	190	0	40	135	267	1711	0	0	37	276	0	1415	7563	315	1551	577	3950	239	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	33	0	0	0	0	0	0	0	0	0
ASV_5	372	245	411	406	556	761	312	571	396	305	903	127	468	282	25	623	945	514	596	483	0	408	502	331	137	0	58	267	0	35	167	50	406	1053	530	516	732	32	197	62	67	27	57	0	35	0	89	404	205	1223	251	359	0	201	417	0	181	338	69	151	139	51	10	375	484	1127	375	522	192	401	0	423	352	228	351	0	177	232	56	723	1266	820	476	569	0	98	67	45	124	82	107	19	54	0	0	0	0	0	0	725	629	32	128	852	186	1005	0	281	0	621	236	0	535	0	1293	522	0	74	224	290	234	783	451	0	477	214	394	167	532	1824	0	0	0	0	0	0	0	0	0
ASV_6	133	423	211	341	212	539	109	603	153	301	416	220	196	429	40	1075	340	515	217	463	0	116	513	108	203	0	88	719	0	258	885	331	611	404	492	226	578	90	265	240	287	281	775	90	319	0	133	313	97	942	159	418	0	266	588	0	331	771	226	537	1040	612	54	652	301	1188	210	511	236	802	0	393	951	282	1180	0	209	962	126	799	1043	776	170	159	0	245	101	322	585	343	584	177	469	0	0	0	0	0	0	203	399	127	72	462	63	162	0	75	0	114	92	0	149	0	186	226	0	105	401	116	179	157	234	0	84	83	234	148	246	811	0	0	0	0	0	0	0	0	0
ASV_7	1895	8061	0	0	0	0	0	0	0	0	0	0	0	0	1837	3549	0	0	0	0	0	0	0	0	0	0	0	29	0	2466	2277	790	2166	0	0	0	0	0	0	0	0	0	22	695	1288	0	577	859	0	0	0	0	0	0	0	0	0	0	0	20	235	310	239	2937	0	0	0	0	0	0	0	0	0	0	13	0	171	233	680	1683	0	0	0	0	0	0	0	0	0	13	79	489	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	238	9	188	0	401	16	218	16	178	0	319	0	128	0	86	50	327	0	324	0	0	225	18	611	18	0	476	24	0	446	43	519	32	341	0	341	6	256	33	612	27	638	18	280	13	0	378	10	347	34	709	16	0	887	16	0	1039	73	825	27	1133	49	155	0	310	15	457	19	370	20	0	459	12	673	0	0	397	24	251	26	455	0	794	0	0	917	0	449	18	932	23	362	17	0	0	0	0	0	0	518	9	558	0	2282	6	1133	0	500	0	871	13	0	949	0	831	14	0	965	13	876	11	1685	16	0	823	10	670	14	1403	27	0	0	0	0	0	0	0	0	0
ASV_9	683	35	382	8	644	42	237	32	252	19	703	0	286	29	166	116	612	10	536	16	0	399	21	1148	23	0	952	50	0	1027	102	826	54	664	0	579	22	302	47	879	18	404	15	242	0	0	728	15	274	23	500	0	0	670	0	0	791	63	653	23	971	32	336	37	287	24	462	0	227	0	0	325	28	575	0	0	259	0	344	59	599	0	1098	13	0	820	19	718	22	791	29	350	17	0	0	0	0	0	0	357	0	252	0	1376	12	712	0	160	0	294	0	0	584	0	525	22	0	437	0	595	0	623	0	0	242	0	277	0	887	27	0	0	0	0	0	0	0	0	0
ASV_10	25	22	29	33	43	56	15	37	33	19	87	24	22	24	37	2235	58	54	22	64	0	35	81	168	0	0	90	243	0	419	999	580	919	27	52	48	76	18	292	215	117	1330	3287	534	1132	0	142	374	7	18	3	0	0	20	17	0	59	22	580	1413	3800	1953	10	341	7	21	10	20	7	13	0	0	9	13	13	0	74	110	74	1395	18	21	16	0	0	54	0	65	78	1531	1764	1159	1555	0	0	0	0	0	0	0	3	0	0	22	0	55	0	19	0	9	0	0	0	0	13	0	0	14	0	8	0	68	24	0	44	0	15	0	7	7	0	0	0	0	0	0	0	0	0
