names,lakesite,limnion,replicate,month,year,nuc_acid_type,project,season,latitude,longitude
110D2W115D,110,Bottom,2,October,2015,DNA,Lake_Michigan,Fall,43.199722,-86.569722
110D2W115R,110,Bottom,2,October,2015,RNA,Lake_Michigan,Fall,43.199722,-86.569722
110D2W415D,110,Bottom,2,April,2015,DNA,Lake_Michigan,Spring,43.199722,-86.569722
110D2W415R,110,Bottom,2,April,2015,RNA,Lake_Michigan,Spring,43.199722,-86.569722
110D2W515D,110,Bottom,2,May,2015,DNA,Lake_Michigan,Spring,43.199722,-86.569722
110D2W515R,110,Bottom,2,May,2015,RNA,Lake_Michigan,Spring,43.199722,-86.569722
110D2W615D,110,Bottom,2,June,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110D2W615R,110,Bottom,2,June,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110D2W715D,110,Bottom,2,July,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110D2W715R,110,Bottom,2,July,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110D2W815D,110,Bottom,2,August,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110D2W815R,110,Bottom,2,August,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110D2W915D,110,Bottom,2,September,2015,DNA,Lake_Michigan,Fall,43.199722,-86.569722
110D2W915R,110,Bottom,2,September,2015,RNA,Lake_Michigan,Fall,43.199722,-86.569722
110M2W115D,110,Middle,2,October,2015,DNA,Lake_Michigan,Fall,43.199722,-86.569722
110M2W115R,110,Middle,2,October,2015,RNA,Lake_Michigan,Fall,43.199722,-86.569722
110M2W415D,110,Middle,2,April,2015,DNA,Lake_Michigan,Spring,43.199722,-86.569722
110M2W415R,110,Middle,2,April,2015,RNA,Lake_Michigan,Spring,43.199722,-86.569722
110M2W515D,110,Middle,2,May,2015,DNA,Lake_Michigan,Spring,43.199722,-86.569722
110M2W515R,110,Middle,2,May,2015,RNA,Lake_Michigan,Spring,43.199722,-86.569722
110M2W615C,110,Middle,2,June,2015,cDNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W615D,110,Middle,2,June,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W615R,110,Middle,2,June,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W715D,110,Middle,2,July,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W715R,110,Middle,2,July,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W815C,110,Middle,2,August,2015,cDNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W815D,110,Middle,2,August,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W815R,110,Middle,2,August,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110M2W915C,110,Middle,2,September,2015,cDNA,Lake_Michigan,Fall,43.199722,-86.569722
110M2W915D,110,Middle,2,September,2015,DNA,Lake_Michigan,Fall,43.199722,-86.569722
110M2W915R,110,Middle,2,September,2015,RNA,Lake_Michigan,Fall,43.199722,-86.569722
110S2W115D,110,Top,2,October,2015,DNA,Lake_Michigan,Fall,43.199722,-86.569722
110S2W115R,110,Top,2,October,2015,RNA,Lake_Michigan,Fall,43.199722,-86.569722
110S2W415D,110,Top,2,April,2015,DNA,Lake_Michigan,Spring,43.199722,-86.569722
110S2W415R,110,Top,2,April,2015,RNA,Lake_Michigan,Spring,43.199722,-86.569722
110S2W515D,110,Top,2,May,2015,DNA,Lake_Michigan,Spring,43.199722,-86.569722
110S2W515R,110,Top,2,May,2015,RNA,Lake_Michigan,Spring,43.199722,-86.569722
110S2W615D,110,Top,2,June,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110S2W615R,110,Top,2,June,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110S2W715D,110,Top,2,July,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110S2W715R,110,Top,2,July,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110S2W815D,110,Top,2,August,2015,DNA,Lake_Michigan,Summer,43.199722,-86.569722
110S2W815R,110,Top,2,August,2015,RNA,Lake_Michigan,Summer,43.199722,-86.569722
110S2W915D,110,Top,2,September,2015,DNA,Lake_Michigan,Fall,43.199722,-86.569722
110S2W915R,110,Top,2,September,2015,RNA,Lake_Michigan,Fall,43.199722,-86.569722
EXTRACONT,Extraction_Control,PBS_Rinse,1,NA,2016,DNA,Extraction_Control,NA,NA,NA
M15S2W115D,M15,Top,2,October,2015,DNA,Lake_Michigan,Fall,43.188056,-86.343889
M15S2W115R,M15,Top,2,October,2015,RNA,Lake_Michigan,Fall,43.188056,-86.343889
M15S2W415D,M15,Top,2,April,2015,DNA,Lake_Michigan,Spring,43.188056,-86.343889
M15S2W415R,M15,Top,2,April,2015,RNA,Lake_Michigan,Spring,43.188056,-86.343889
M15S2W515D,M15,Top,2,May,2015,DNA,Lake_Michigan,Spring,43.188056,-86.343889
M15S2W515R,M15,Top,2,May,2015,RNA,Lake_Michigan,Spring,43.188056,-86.343889
M15S2W615C,M15,Top,2,June,2015,cDNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W615D,M15,Top,2,June,2015,DNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W615R,M15,Top,2,June,2015,RNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W715C,M15,Top,2,July,2015,cDNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W715D,M15,Top,2,July,2015,DNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W715R,M15,Top,2,July,2015,RNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W815D,M15,Top,2,August,2015,DNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W815R,M15,Top,2,August,2015,RNA,Lake_Michigan,Summer,43.188056,-86.343889
M15S2W915D,M15,Top,2,September,2015,DNA,Lake_Michigan,Fall,43.188056,-86.343889
M15S2W915R,M15,Top,2,September,2015,RNA,Lake_Michigan,Fall,43.188056,-86.343889
M45D2W115D,M45,Bottom,2,October,2015,DNA,Lake_Michigan,Fall,43.207983,-86.4491
